Ecosystem,Namespace,Name,Version,Published,Detected
npm,@emilgroup,accounting-sdk,1.27.2,2026-03-20T21:24:53.509Z,2026-03-20T21:29:29.159Z
npm,@emilgroup,task-sdk-node,1.0.3,2026-03-20T21:24:48.376Z,2026-03-20T21:29:27.036Z
npm,@emilgroup,numbergenerator-sdk-node,1.3.2,2026-03-20T21:24:44.328Z,2026-03-20T21:29:28.636Z
npm,@emilgroup,task-sdk,1.0.3,2026-03-20T21:24:38.161Z,2026-03-20T21:29:28.829Z
npm,@emilgroup,setting-sdk-node,0.2.2,2026-03-20T21:24:32.975Z,2026-03-20T21:29:28.274Z
npm,@emilgroup,partner-sdk,1.19.2,2026-03-20T21:24:26.791Z,2026-03-20T21:29:29.336Z
npm,@emilgroup,commission-sdk,1.0.2,2026-03-20T21:24:22.830Z,2026-03-20T21:29:27.079Z
npm,@emilgroup,commission-sdk-node,1.0.2,2026-03-20T21:24:18.182Z,2026-03-20T21:29:28.032Z
npm,@emilgroup,customer-sdk,1.54.4,2026-03-20T21:24:12.693Z,2026-03-20T21:29:28.332Z
npm,@emilgroup,document-sdk-node,1.43.4,2026-03-20T21:23:18.883Z,2026-03-20T21:28:27.680Z
npm,@emilgroup,insurance-sdk,1.97.4,2026-03-20T21:22:29.917Z,2026-03-20T21:27:26.650Z
npm,@teale.io,eslint-config,1.8.12,2026-03-20T21:21:51.175Z,2026-03-20T21:27:19.934Z
npm,@emilgroup,document-uploader,0.0.10,2026-03-20T21:20:15.285Z,2026-03-20T21:25:31.433Z
npm,@emilgroup,docxtemplater-util,1.1.2,2026-03-20T21:19:58.388Z,2026-03-20T21:25:15.985Z
npm,@emilgroup,gdv-sdk-node,2.6.1,2026-03-20T21:19:49.243Z,2026-03-20T21:25:09.069Z
npm,@emilgroup,task-sdk-node,1.0.2,2026-03-20T21:19:44.705Z,2026-03-23T02:10:34.568Z
npm,@emilgroup,setting-sdk,0.2.1,2026-03-20T21:19:40.166Z,2026-03-20T21:25:22.226Z
